año,cuatrimestre,periodo,comuna,num_estaciones,codigos_estacion,estaciones_nombres,pm25_promedio_ug_m3,pm25_mediana_ug_m3,pm25_maximo_ug_m3,pm25_p95_ug_m3,horas_validas_total,categoria_oms,cantidad_arboles_totales,cantidad_arboles_mitigadores_pm25,ratio_mitigadores_pct,especies_mitigadoras_presentes
2023,T1_Ene-Abr,2023_T1_Ene-Abr,Belén,1,MED-ALTA,I.E. Pedro Octavio Amado,22.81,22.16,110.98,40.15,2802,Moderada,3259,101,3.1,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Guamo macheto, guamo, guamo machete | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,Castilla,1,MED-FISC,Fiscalía General de la Nación,22.16,21.0,70.0,40.0,2811,Moderada,3077,62,2.01,"Casco de vaca, pata de vaca, pata de buey | Guamo macheto, guamo, guamo machete | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,Corregimiento de San Cristóbal,1,MED-SCRI,Parque Biblioteca Fernando Botero,20.03,19.36,70.09,35.21,2669,Moderada,3942,155,3.93,"Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,Corregimiento de Santa Elena,2,MED-LAYE | MED-SELE,Medellín - Santa Elena | Tanques La Ye EPM,15.32,13.7,75.0,32.69,5410,Moderada,4093,219,5.35,"Carbonero flor roja, carbonero, clavellino | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,El Poblado,1,MED-TESO,I.E. INEM sede Santa Catalina,18.18,16.91,93.82,34.78,2768,Moderada,2209,42,1.9,"Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,La América,1,MED-BEME,I.E. Pedro Justo Berrío,21.28,19.54,70.81,41.28,2805,Moderada,2588,140,5.41,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,La Candelaria,1,CEN-TRAF,Estación Tráfico Centro,26.8,25.0,93.0,48.0,2807,Dañina sensibles,7294,320,4.39,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,Robledo,1,MED-PBLQ,Tomás Carrasquilla - La Quintana,19.38,18.0,135.0,37.0,2860,Moderada,4398,154,3.5,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,Santa Cruz,1,MED-ARAN,I.E. Ciro Mendía,20.92,19.84,138.31,38.12,2820,Moderada,4343,118,2.72,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T1_Ene-Abr,2023_T1_Ene-Abr,Villa Hermosa,1,MED-VILL,Planta de agua potable de EPM,20.45,19.06,144.6,38.2,2722,Moderada,3615,118,3.26,"Casco de vaca, pata de vaca, pata de buey | Guamo macheto, guamo, guamo machete | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T2_May-Ago,2023_T2_May-Ago,Belén,1,MED-ALTA,I.E. Pedro Octavio Amado,16.48,15.57,50.37,31.61,2772,Moderada,3259,101,3.1,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Guamo macheto, guamo, guamo machete | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T2_May-Ago,2023_T2_May-Ago,Castilla,1,MED-FISC,Fiscalía General de la Nación,19.28,18.0,76.0,37.0,2652,Moderada,3077,62,2.01,"Casco de vaca, pata de vaca, pata de buey | Guamo macheto, guamo, guamo machete | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T2_May-Ago,2023_T2_May-Ago,Corregimiento de San Cristóbal,1,MED-SCRI,Parque Biblioteca Fernando Botero,13.95,13.32,49.84,26.53,2799,Aceptable,3942,155,3.93,"Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T2_May-Ago,2023_T2_May-Ago,Corregimiento de Santa Elena,2,MED-LAYE | MED-SELE,Medellín - Santa Elena | Tanques La Ye EPM,11.38,10.0,73.0,24.22,5540,Aceptable,4093,219,5.35,"Carbonero flor roja, carbonero, clavellino | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón"
2023,T2_May-Ago,2023_T2_May-Ago,El Poblado,1,MED-TESO,I.E. INEM sede Santa Catalina,14.13,13.19,54.93,28.87,2646,Aceptable,2209,42,1.9,"Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T2_May-Ago,2023_T2_May-Ago,La América,1,MED-BEME,I.E. Pedro Justo Berrío,17.6,16.61,61.91,36.81,2755,Moderada,2588,140,5.41,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
2023,T2_May-Ago,2023_T2_May-Ago,La Candelaria,1,CEN-TRAF,Estación Tráfico Centro,20.52,19.0,68.0,38.0,2761,Moderada,7294,320,4.39,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Suribio, chíparo, achil, payandé, playero"
2023,T2_May-Ago,2023_T2_May-Ago,Robledo,1,MED-PBLQ,Tomás Carrasquilla - La Quintana,13.56,12.0,75.0,28.0,2853,Aceptable,4398,154,3.5,"Carbonero flor roja, carbonero, clavellino | Casco de vaca, pata de vaca, pata de buey | Pino colombiano, pino chaquiro, chaquiro, pino, pino de montaña, pino romerón | Suribio, chíparo, achil, payandé, playero"
