id_poligono,comuna,ranking_prioridad_comuna,score_multicriteria,tipologia,categoria,cobertura_actual,area_m2,area_ha,especie_recomendada,nombre_comun_especie,arboles_cupo_estimado,separacion_minima_m,eficiencia_pm25,especies_alternativas,fuentes_botanicas
21891,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,18968.94,1.8969,Zygia longifolia,Suribio,74,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19466,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,11964.04,1.1964,Zygia longifolia,Suribio,46,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
21224,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,11646.21,1.1646,Zygia longifolia,Suribio,45,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19415,Guayabal,1,0.749,AsocioMovilidad,Antejardin,Grama,3101.35,0.3101,Calliandra haematocephala,Carbonero flor roja,42,8.5,Media,Ninguna,Morales y Varón (2013); AMVA y UNAL (2014)
14840,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,9102.38,0.9102,Zygia longifolia,Suribio,35,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
22188,Guayabal,1,0.749,AsocioMovilidad,OrejaPuente,Grama,8541.51,0.8542,Zygia longifolia,Suribio,33,16.0,Alta,Casco de vaca (Bauhinia picta),Morales y Varón (2013); AMVA y UNAL (2014)
16568,Guayabal,1,0.749,AsocioEP,ParqueRec,Grama,7117.84,0.7118,Zygia longifolia,Suribio,27,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19534,Guayabal,1,0.749,AsocioMovilidad,Antejardin,Grama,1915.12,0.1915,Calliandra haematocephala,Carbonero flor roja,26,8.5,Media,Ninguna,Morales y Varón (2013); AMVA y UNAL (2014)
6686,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,6586.47,0.6586,Zygia longifolia,Suribio,25,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19416,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,6484.98,0.6485,Zygia longifolia,Suribio,25,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
13954,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,5832.71,0.5833,Zygia longifolia,Suribio,22,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
22173,Guayabal,1,0.749,AsocioUrbanistico,RetiroQuebradas,Grama,5624.47,0.5624,Zygia longifolia,Suribio,21,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
22278,Guayabal,1,0.749,AsocioMovilidad,Glorieta,Grama,5544.71,0.5545,Zygia longifolia,Suribio,21,16.0,Alta,Casco de vaca (Bauhinia picta) | Carbonero flor roja (Calliandra haematocephala),Morales y Varón (2013); AMVA y UNAL (2014)
21889,Guayabal,1,0.749,AsocioUrbanistico,RetiroQuebradas,Grama,5317.68,0.5318,Zygia longifolia,Suribio,20,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19418,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,5233.66,0.5234,Zygia longifolia,Suribio,20,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19461,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,5323.16,0.5323,Zygia longifolia,Suribio,20,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19009,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,5063.18,0.5063,Zygia longifolia,Suribio,19,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
14732,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,4995.28,0.4995,Zygia longifolia,Suribio,19,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
22181,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,4803.54,0.4804,Zygia longifolia,Suribio,18,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
6795,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,4634.72,0.4635,Zygia longifolia,Suribio,18,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
6908,Guayabal,1,0.749,AsocioMovilidad,Antejardin,Tierra,1265.87,0.1266,Calliandra haematocephala,Carbonero flor roja,17,8.5,Media,Ninguna,Morales y Varón (2013); AMVA y UNAL (2014)
14723,Guayabal,1,0.749,AsocioEP,ZVRecreacional,Grama,4463.07,0.4463,Zygia longifolia,Suribio,17,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19578,Guayabal,1,0.749,AsocioMovilidad,Antejardin,Tierra,1299.84,0.13,Calliandra haematocephala,Carbonero flor roja,17,8.5,Media,Ninguna,Morales y Varón (2013); AMVA y UNAL (2014)
13254,Guayabal,1,0.749,AsocioUrbanistico,RetiroQuebradas,Grama,4204.02,0.4204,Zygia longifolia,Suribio,16,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
19586,Guayabal,1,0.749,AsocioEP,ParqueRec,Tierra,4157.65,0.4158,Zygia longifolia,Suribio,16,16.0,Alta,Casco de vaca (Bauhinia picta) | Guamo machete (Inga densiflora),Morales y Varón (2013); AMVA y UNAL (2014)
