comuna,ranking_prioridad,score_multicriteria,n_zonas_disponibles,area_total_disponible_ha,arboles_a_plantar_total,especie_principal,cupo_especie_principal,pm25_promedio,deficit_pct,ratio_mitigadores
Guayabal,1,0.749,338,39.81,1680,Zygia longifolia,1332,17.38,28.04,1.96
Belén,2,0.6955,105,33.58,1448,Inga densiflora,1135,20.66,26.9,3.1
Castilla,3,0.6593,107,12.88,611,Zygia longifolia,410,18.87,27.99,2.01
La Candelaria,4,0.6509,174,18.63,723,Zygia longifolia,615,25.33,25.61,4.39
El Poblado,5,0.5844,281,20.27,960,Zygia longifolia,605,14.85,28.1,1.9
Robledo,7,0.4379,78,16.21,726,Inga densiflora,376,16.29,26.5,3.5
La América,10,0.3009,42,3.72,148,Zygia longifolia,124,19.69,24.59,5.41
Aranjuez,99,0.0,66,16.01,759,Zygia longifolia,357,,,
Buenos Aires,99,0.0,23,2.22,121,Calliandra haematocephala,54,,,
Laureles Estadio,99,0.0,389,35.85,1492,Zygia longifolia,1198,,,
San Javier,99,0.0,45,2.92,130,Zygia longifolia,90,,,
